Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0201,4,12pF,
"C10, C13, C9",0603,3,4.7uF,
C11,0201,1,100pF,
"C12, C17, C18, C8",0402,4,1uF,
C14,0201,1,1.0pF,
C15,0201,1,1.2pF,
C16,0201,1,820pF,
"C5, C6, C7",0201,3,100nF,
IC1,QFN40P500X500X90-41N-D,1,nRF52820-QDAA-R,
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_ST_STDC14,
J3,HRS_U.FL-R-SMT_01_,1,U.FL-R-SMT_01_,
L1,0201,1,4.7nH,
L2,0201,1,2.2nH,
"R1, R2, R3",0402,3,5.1K,
"TP1, TP10, TP11, TP12, TP13, TP16, TP17, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,15,TestPoint,
U1,BU-01,1,BU-01,
U2,SOT-23-6,1,USBLC6-2SC6,
U5,SOT-23-5,1,AP2112K-3.3,
UART_CONN1,TE_84952-6_1x06-1MP_P1.0mm_Horizontal,1,FFC-FPC:TE_84952_6,
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,32.768kHz Cl=9pF,
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz Cl=8pF,
