Designator,Mid X,Mid Y,Rotation,Layer
C1,132.220001,-100.650001,0.0,top
C10,126.04,-100.03,90.0,top
C11,130.25,-109.939996,270.0,top
C12,135.62,-104.92,0.0,top
C13,124.11,-103.11,180.0,top
C14,127.219999,-111.170007,180.0,top
C15,127.239999,-112.030004,180.0,top
C16,125.78,-108.28,180.0,top
C17,142.96,-117.6,0.0,top
C18,142.96,-115.32,0.0,top
C2,129.750001,-100.649998,180.0,top
C3,134.449998,-110.329998,270.0,top
C4,132.095001,-112.480001,0.0,top
C5,134.119999,-107.89,0.0,top
C6,134.26,-103.37,0.0,top
C7,134.239998,-102.339997,0.0,top
C8,127.63,-99.69,90.0,top
C9,121.52,-107.46,180.0,top
IC1,129.88,-105.44,270.0,top
J1,139.660001,-89.769997,180.0,top
J2,125.150007,-90.290007,270.0,top
J3,128.440003,-117.740005,180.0,top
L1,128.489999,-111.597504,270.0,top
L2,128.499998,-113.520007,270.0,top
R1,142.28,-96.39,90.0,top
R2,136.66,-96.35,90.0,top
R3,100.27,-95.96,0.0,top
U1,97.135,-110.99,90.0,top
U2,139.482501,-97.25,90.0,top
U5,139.642501,-116.46,90.0,top
UART_CONN1,146.979999,-104.709999,90.0,top
Y1,130.99,-98.92,0.0,top
Y2,132.469998,-110.550001,0.0,top
